mw,nodes,clients,requests,client,time_s,ops_per_s
redis,3,5,3000,c0,0.000002,1274426506.49
redis,3,5,3000,c1,0.000003,1121495331.13
redis,3,5,3000,c2,0.000002,1302083338.03
redis,3,5,3000,c3,0.000002,1412429384.52
redis,3,5,3000,c4,0.000006,476039352.38
